Host Id,Host Since,Name,Neighbourhood ,Property Type,Room Type,Zipcode,Beds,Review Scores Rating,Review Scores Rating (bin),Price,Number of Records,Number Of Reviews
733817,6/23/2011,Super clean big apt in trendy LES,Manhattan,Apartment,Entire home/apt,10002,1,20,20,179,1,2
782008,7/5/2011,Sunny and Funky Greenpoint Room,Brooklyn,Apartment,Private room,11222,1,20,20,75,1,1
1367316,11/3/2011,Private Room,Brooklyn,House,Private room,11225,2,20,20,50,1,1
3301768,8/18/2012,Private Rm w. Queen Bed near train,Manhattan,Apartment,Private room,10032,1,20,20,70,1,1
3814458,10/9/2012,Entrepreneurs Dream,Manhattan,Apartment,Private room,10018,1,20,20,195,1,2
3858150,10/13/2012,Romain's home,Manhattan,Apartment,Private room,10027,1,20,20,60,1,1
4319841,12/4/2012,Sunny 1 bed home close to Manhattan,Brooklyn,Apartment,Entire home/apt,11218,1,20,20,95,1,2
4363890,12/9/2012,Harlem close to Columbia University,Manhattan,Apartment,Private room,10031,1,20,20,60,1,1
4500452,12/26/2012,Williamsburg off Bedford L - 3,Brooklyn,Apartment,Private room,11211,1,20,20,110,1,1
6016276,4/20/2013,Private UWS Room,Manhattan,Apartment,Private room,10025,1,20,20,108,1,1
6396863,5/14/2013,Private Bedroom near Time Square,Manhattan,Apartment,Private room,10019,1,20,20,60,1,1
7126752,6/26/2013,Summer Vacation Special,Manhattan,Apartment,Entire home/apt,10030,1,20,20,150,1,1
7831209,7/30/2013,Bright B1 rm in a house,Brooklyn,House,Private room,11235,2,20,20,35,1,4
9751988,11/1/2013,Big room only $70 for 2 Chelsea!!!,Manhattan,Apartment,Private room,10011,1,20,20,70,1,3
10565667,12/11/2013,2BR Apt 15Min Ride To NYC,Queens,Apartment,Entire home/apt,11385,3,20,20,150,1,1
10837778,12/27/2013,Huge private room in a 2br apartmen,Brooklyn,Apartment,Private room,11211,1,20,20,60,1,1
10918168,12/30/2013,Fifth Avenue Loft,Manhattan,Loft,Shared room,10018,2,20,20,300,1,1
11081099,1/6/2014,Private Room in Comfy NYC Apt!,Manhattan,Apartment,Private room,10031,1,20,20,50,1,1
11246580,1/12/2014,Washington Heights Apartment,Manhattan,Apartment,Private room,10032,1,20,20,80,1,1
11378117,1/17/2014,NYC by the Beach with Suburban Feel,Brooklyn,House,Private room,11224,1,20,20,45,1,1
12456425,2/21/2014,Private Bedroom Near Times Square,Manhattan,Apartment,Private room,10018,1,20,20,75,1,2
13241955,3/17/2014,Brooklyn home room for up to 4 ppl,Brooklyn,Apartment,Private room,11226,4,20,20,75,1,2
16567193,6/9/2014,Beautiful two bedroom garden apt.,Brooklyn,House,Private room,11236,3,20,20,100,1,1
21502924,9/18/2014,Super Amazing Two Bedroom/2 Bath!,Manhattan,Apartment,Entire home/apt,10031,3,20,20,140,1,1
21497869,9/18/2014,Brooklyn home,Brooklyn,Apartment,Private room,11226,3,20,20,79,1,1
22656473,10/17/2014,LARGE 1 BEDROOM APARTMENT,Queens,Apartment,Private room,11375,4,20,20,130,1,1
23120620,10/29/2014,Affordable luxury room in Flushing,Queens,Apartment,Private room,11354,1,20,20,88,1,2
23421834,11/6/2014,a large bedroom at great location,Manhattan,Apartment,Private room,10025,1,20,20,80,1,1
24337391,11/30/2014,"Big 1bd, next to Park+Trains",Manhattan,Apartment,Entire home/apt,10026,1,20,20,125,1,1
24797483,12/13/2014,Sunshine & Coffeeshops in Brooklyn,Brooklyn,Apartment,Private room,11225,1,20,20,75,1,1
27783052,2/15/2015,Colorful Room in Artsy BedStuy Home,Brooklyn,Apartment,Private room,11233,1,20,20,40,1,1
28374408,2/25/2015,Private Rm in 2br Duplex - Balcony!,Manhattan,Apartment,Private room,10028,1,20,20,65,1,1
29957064,3/24/2015,Huge 1br 1 sub stop from GC,Queens,Apartment,Entire home/apt,11101,2,20,20,135,1,2
31912520,4/25/2015,"Upper West Side, Safe and Secure",Manhattan,Apartment,Private room,10025,1,20,20,90,1,3
32833394,5/7/2015,New renovated Gem in Brooklyn,Brooklyn,Apartment,Entire home/apt,11213,1,20,20,87,1,2
35414545,6/9/2015,Private room with huge closet,Manhattan,Apartment,Private room,10016,1,20,20,95,1,1
36390450,6/21/2015,Shared or Private room for rent,Queens,House,Private room,11416,2,20,20,50,1,1
37949594,7/9/2015,Share my room near columbia,Manhattan,Apartment,Shared room,10025,1,20,20,30,1,3
38669813,7/16/2015,Basement room w/ private bathroom,Brooklyn,Apartment,Private room,11237,2,20,20,80,1,1
12058024,2/8/2014,Bushwick Room Available,Brooklyn,Apartment,Private room,11237,1,30,30,35,1,2
19682564,8/8/2014,Columbia University in Manhattan,Manhattan,House,Private room,10025,1,30,30,70,1,2
45324,10/12/2009,SPACIOUS BASEMENT ROOM W/ HALF BATH,Queens,House,Private room,11434,1,40,40,45,1,1
602131,5/18/2011,Sunny & relaxing apt in BK,Brooklyn,Apartment,Entire home/apt,11211,2,40,40,70,1,1
1229653,9/30/2011,"Cute, Sunny Bedroom in LES Space!",Manhattan,Apartment,Private room,10002,1,40,40,95,1,1
2028258,3/29/2012,Comfortable Private Room,Queens,Apartment,Private room,11103,1,40,40,88,1,2
2546075,6/4/2012,Semi-Private Loft Bed EAST VILLAGE!,Manhattan,Apartment,Private room,10003,2,40,40,69,1,2
2675644,6/18/2012,Turn of the Century Film Location,Staten Island,House,Entire home/apt,10301,12,40,40,"5,000",1,1
2786998,6/30/2012,Cozy Room in East Village,Manhattan,Apartment,Private room,10009,1,40,40,85,1,1
3264768,8/15/2012,"Spacious 2BR in Hip Area, Sleeps 6",Brooklyn,Apartment,Entire home/apt,11237,4,40,40,150,1,1
3560299,9/13/2012,"Beautiful Room, Prime Williamsburg",Brooklyn,Apartment,Private room,11211,1,40,40,100,1,1
4036685,11/1/2012,Cozy LARGE NYC Bedroom w/homeoffice,Queens,House,Private room,11361,1,40,40,75,1,1
4068903,11/5/2012,Private Studio in Sunny 3 bedroom,Brooklyn,Apartment,Private room,11206,2,40,40,79,1,1
4952591,2/3/2013,Modern apt. with direct sunlight,Manhattan,Apartment,Entire home/apt,10002,2,40,40,243,1,2
7026827,6/20/2013,Classic 3 Bedroom Beauty,Brooklyn,Apartment,Entire home/apt,11233,3,40,40,150,1,2
7894614,8/2/2013,"Spacious, new studio, in Gramercy",Manhattan,Apartment,Entire home/apt,10010,2,40,40,150,1,4
8112265,8/12/2013,Great Bedroom in 2 bed Apt in SoHo!,Manhattan,Apartment,Private room,10012,1,40,40,200,1,1
8551109,8/31/2013,Room in Astoria close to trains,Queens,Apartment,Private room,11106,1,40,40,40,1,1
9945927,11/11/2013,Room/priv. section in artists loft,Brooklyn,Loft,Private room,11206,1,40,40,75,1,1
10384906,12/2/2013,Two bedrooms,Brooklyn,House,Private room,11220,1,40,40,100,1,1
10476487,12/6/2013,"1,200 sq/ft loft +private backyard",Manhattan,Apartment,Entire home/apt,10013,1,40,40,345,1,1
11733924,1/28/2014,"Hip East Wburg, Room w/ Queen Bed",Brooklyn,Apartment,Private room,11237,1,40,40,55,1,1
12809199,3/4/2014,Beautiful Luxury Brooklyn Studio,Brooklyn,Apartment,Entire home/apt,11201,1,40,40,175,1,2
13130690,3/14/2014,cosy studio in perfect location,Manhattan,Apartment,Entire home/apt,10022,1,40,40,120,1,1
15603335,5/16/2014,Private bedroom available at dorm,Brooklyn,Dorm,Private room,11210,1,40,40,65,1,1
15743237,5/19/2014,"Walk to subway, 20 min to Manhattan",Queens,Apartment,Private room,11373,2,40,40,59,1,1
19892744,8/12/2014,ROOM AVAILABLE IN THE SUMMER,Brooklyn,Apartment,Private room,11206,1,40,40,40,1,1
20566740,8/26/2014,THE RED ROOM,Manhattan,Apartment,Private room,10039,1,40,40,60,1,3
20780082,8/31/2014,Wen Xin Hostel (45),Brooklyn,House,Private room,11220,1,40,40,45,1,1
21987837,10/1/2014,Ultra Modern Luxury & Fabulous View,Manhattan,Apartment,Entire home/apt,10036,1,40,40,295,1,1
23086303,10/28/2014,Private Room in the East Village!,Manhattan,Apartment,Private room,10009,1,40,40,110,1,3
24864671,12/15/2014,Best location - Shared room,Manhattan,Apartment,Shared room,10016,1,40,40,54,1,1
25007178,12/19/2014,Prime Private 1Br in East Village,Manhattan,Apartment,Private room,10003,1,40,40,83,1,3
25067808,12/21/2014,MASSIVE Downtown Artist Loft!!!,Manhattan,Loft,Entire home/apt,10002,2,40,40,390,1,2
26003882,1/12/2015,哥大附近独立房间即日起出租，价格超低，长租者优惠多多,Manhattan,Apartment,Private room,10027,1,40,40,30,1,1
27484080,2/9/2015,Studio apartment upper west,Manhattan,Apartment,Entire home/apt,10025,1,40,40,70,1,1
28018723,2/19/2015,Large furnished 1 bedroom apt,Queens,Apartment,Entire home/apt,11105,1,40,40,150,1,1
29736180,3/21/2015,Homey spot in fun neighborhood!,Brooklyn,Apartment,Private room,11238,1,40,40,40,1,1
